event_id,event_date,event_country
665,2023-10-07,USA
664,2023-09-23,USA
663,2023-09-16,USA
662,2023-09-09,Australia
661,2023-09-02,France
660,2023-08-26,Singapore
659,2023-08-19,USA
658,2023-08-12,USA
657,2023-08-05,USA
656,2023-07-29,USA
655,2023-07-22,United Kingdom
654,2023-07-15,USA
653,2023-07-08,USA
652,2023-07-01,USA
651,2023-06-24,USA
650,2023-06-17,USA
649,2023-06-10,Canada
648,2023-06-03,USA
647,2023-05-20,USA
646,2023-05-13,USA
645,2023-05-06,USA
644,2023-04-29,USA
643,2023-04-22,USA
642,2023-04-15,USA
641,2023-04-08,USA
640,2023-03-25,USA
639,2023-03-18,United Kingdom
638,2023-03-11,USA
637,2023-03-04,USA
636,2023-02-25,USA
635,2023-02-18,USA
634,2023-02-11,Australia
633,2023-02-04,USA
632,2023-01-21,Brazil
631,2023-01-14,USA
630,2022-12-17,USA
629,2022-12-10,USA
628,2022-12-03,USA
627,2022-11-19,USA
626,2022-11-12,USA
625,2022-11-05,USA
624,2022-10-29,USA
623,2022-10-22,United Arab Emirates
622,2022-10-15,USA
621,2022-10-01,USA
620,2022-09-17,USA
619,2022-09-10,USA
618,2022-09-03,France
617,2022-08-20,USA
616,2022-08-13,USA
615,2022-08-06,USA
614,2022-07-30,USA
613,2022-07-23,United Kingdom
612,2022-07-16,USA
611,2022-07-09,USA
610,2022-07-02,USA
609,2022-06-25,USA
608,2022-06-18,USA
607,2022-06-11,Singapore
606,2022-06-04,USA
605,2022-05-21,USA
604,2022-05-14,USA
603,2022-05-07,USA
602,2022-04-30,USA
601,2022-04-23,USA
600,2022-04-16,USA
599,2022-04-09,USA
598,2022-03-26,USA
597,2022-03-19,United Kingdom
596,2022-03-12,USA
595,2022-03-05,USA
594,2022-02-26,USA
593,2022-02-19,USA
592,2022-02-12,USA
591,2022-02-05,USA
590,2022-01-22,USA
589,2022-01-15,USA
588,2021-12-18,USA
587,2021-12-11,USA
586,2021-12-04,USA
585,2021-11-20,USA
584,2021-11-13,USA
583,2021-11-06,USA
582,2021-10-30,United Arab Emirates
581,2021-10-23,USA
580,2021-10-16,USA
579,2021-10-09,USA
578,2021-10-02,USA
577,2021-09-25,USA
576,2021-09-18,USA
575,2021-09-04,USA
574,2021-08-28,USA
573,2021-08-21,USA
572,2021-08-07,USA
571,2021-07-31,USA
570,2021-07-24,USA
569,2021-07-17,USA
568,2021-07-10,USA
567,2021-06-26,USA
566,2021-06-19,USA
565,2021-06-12,USA
564,2021-06-05,USA
563,2021-05-22,USA
562,2021-05-15,USA
561,2021-05-08,USA
560,2021-05-01,USA
559,2021-04-24,USA
558,2021-04-17,USA
557,2021-04-10,USA
556,2021-03-27,USA
555,2021-03-20,USA
554,2021-03-13,USA
553,2021-03-06,USA
552,2021-02-27,USA
551,2021-02-20,USA
550,2021-02-13,USA
549,2021-02-06,USA
548,2021-01-23,United Arab Emirates
547,2021-01-20,United Arab Emirates
546,2021-01-16,United Arab Emirates
545,2020-12-19,USA
544,2020-12-12,USA
543,2020-12-05,USA
542,2020-11-28,USA
541,2020-11-21,USA
540,2020-11-14,USA
539,2020-11-07,USA
538,2020-10-31,USA
537,2020-10-24,United Arab Emirates
536,2020-10-17,United Arab Emirates
535,2020-10-10,United Arab Emirates
534,2020-10-03,United Arab Emirates
533,2020-09-26,United Arab Emirates
532,2020-09-19,USA
531,2020-09-12,USA
530,2020-09-05,USA
529,2020-08-29,USA
528,2020-08-22,USA
527,2020-08-15,USA
526,2020-08-08,USA
525,2020-08-01,USA
524,2020-07-25,United Arab Emirates
523,2020-07-18,United Arab Emirates
522,2020-07-15,United Arab Emirates
521,2020-07-11,United Arab Emirates
520,2020-06-27,USA
519,2020-06-20,USA
518,2020-06-13,USA
517,2020-06-06,USA
516,2020-05-30,USA
515,2020-05-16,USA
514,2020-05-13,USA
513,2020-05-09,USA
512,2020-03-14,Brazil
511,2020-03-07,USA
510,2020-02-29,USA
509,2020-02-22,New Zealand
508,2020-02-15,USA
507,2020-02-08,USA
506,2020-01-25,USA
505,2020-01-18,USA
504,2019-12-21,South Korea
503,2019-12-14,USA
502,2019-12-07,USA
501,2019-11-16,Brazil
500,2019-11-09,Russia
499,2019-11-02,USA
498,2019-10-26,Singapore
497,2019-10-18,USA
496,2019-10-12,USA
495,2019-10-05,Australia
494,2019-09-28,Denmark
493,2019-09-21,Mexico
492,2019-09-14,Canada
491,2019-09-07,United Arab Emirates
490,2019-08-31,China
489,2019-08-17,USA
488,2019-08-10,Uruguay
487,2019-08-03,USA
486,2019-07-27,Canada
485,2019-07-20,USA
484,2019-07-13,USA
483,2019-07-06,USA
482,2019-06-29,USA
481,2019-06-22,USA
480,2019-06-08,USA
479,2019-06-01,Sweden
478,2019-05-18,USA
477,2019-05-11,Brazil
476,2019-05-04,Canada
475,2019-04-27,USA
474,2019-04-20,Russia
473,2019-04-13,USA
472,2019-03-30,USA
471,2019-03-23,USA
470,2019-03-16,United Kingdom
469,2019-03-09,USA
468,2019-03-02,USA
467,2019-02-23,Czech Republic
466,2019-02-17,USA
465,2019-02-09,Australia
464,2019-02-02,Brazil
463,2019-01-19,USA
462,2018-12-29,USA
461,2018-12-15,USA
460,2018-12-08,Canada
459,2018-12-01,Australia
458,2018-11-30,USA
457,2018-11-24,China
456,2018-11-17,Argentina
455,2018-11-10,USA
454,2018-11-03,USA
453,2018-10-27,Canada
452,2018-10-06,USA
451,2018-09-22,Brazil
450,2018-09-15,Russia
449,2018-09-08,USA
448,2018-08-25,USA
447,2018-08-04,USA
446,2018-07-28,Canada
445,2018-07-22,Germany
444,2018-07-14,USA
443,2018-07-07,USA
442,2018-07-06,USA
441,2018-06-23,Singapore
440,2018-06-09,USA
439,2018-06-01,USA
438,2018-05-27,United Kingdom
437,2018-05-19,Chile
436,2018-05-12,Brazil
435,2018-04-21,USA
434,2018-04-14,USA
433,2018-04-07,USA
432,2018-03-17,United Kingdom
431,2018-03-03,USA
430,2018-02-24,USA
429,2018-02-18,USA
428,2018-02-10,Australia
427,2018-02-03,Brazil
426,2018-01-27,USA
425,2018-01-20,USA
424,2018-01-14,USA
423,2017-12-30,USA
422,2017-12-16,Canada
421,2017-12-09,USA
420,2017-12-02,USA
419,2017-12-01,USA
418,2017-11-25,China
417,2017-11-18,Australia
416,2017-11-11,USA
415,2017-11-04,USA
414,2017-10-28,Brazil
413,2017-10-21,Poland
412,2017-10-07,USA
411,2017-09-22,Japan
410,2017-09-16,USA
409,2017-09-09,Canada
408,2017-09-02,Netherlands
407,2017-08-05,Mexico
406,2017-07-29,USA
405,2017-07-22,USA
404,2017-07-16,United Kingdom
403,2017-07-08,USA
402,2017-07-07,USA
401,2017-06-25,USA
400,2017-06-17,Singapore
399,2017-06-10,New Zealand
398,2017-06-03,Brazil
397,2017-05-28,Sweden
396,2017-05-13,USA
395,2017-04-22,USA
394,2017-04-15,USA
393,2017-04-08,USA
392,2017-03-18,United Kingdom
391,2017-03-11,Brazil
390,2017-03-04,USA
389,2017-02-19,Canada
388,2017-02-11,USA
387,2017-02-04,USA
386,2017-01-28,USA
385,2017-01-15,USA
384,2016-12-30,USA
383,2016-12-17,USA
382,2016-12-10,Canada
381,2016-12-09,USA
380,2016-12-03,USA
379,2016-11-26,Australia
378,2016-11-19,Brazil
377,2016-11-19,United Kingdom
376,2016-11-12,USA
375,2016-11-05,Mexico
374,2016-10-08,United Kingdom
373,2016-10-01,USA
372,2016-09-24,Brazil
371,2016-09-17,USA
370,2016-09-10,USA
369,2016-09-03,Germany
368,2016-08-27,Canada
367,2016-08-20,USA
366,2016-08-06,USA
365,2016-07-30,USA
364,2016-07-23,USA
363,2016-07-13,USA
362,2016-07-09,USA
361,2016-07-08,USA
360,2016-07-07,USA
359,2016-06-18,Canada
358,2016-06-04,USA
357,2016-05-29,USA
356,2016-05-14,Brazil
355,2016-05-08,Netherlands
354,2016-04-23,USA
353,2016-04-16,USA
352,2016-04-10,Croatia
351,2016-03-19,Australia
350,2016-03-05,USA
349,2016-02-27,United Kingdom
348,2016-02-21,USA
347,2016-02-06,USA
346,2016-01-30,USA
345,2016-01-17,USA
344,2016-01-02,USA
343,2015-12-19,USA
342,2015-12-12,USA
341,2015-12-11,USA
340,2015-12-10,USA
339,2015-11-28,South Korea
338,2015-11-21,Mexico
337,2015-11-14,Australia
336,2015-11-07,Brazil
335,2015-10-24,Ireland
334,2015-10-03,USA
333,2015-09-26,Japan
332,2015-09-05,USA
331,2015-08-23,Canada
330,2015-08-08,USA
329,2015-08-01,Brazil
328,2015-07-25,USA
327,2015-07-18,United Kingdom
326,2015-07-15,USA
325,2015-07-12,USA
324,2015-07-11,USA
323,2015-06-27,USA
322,2015-06-20,Germany
321,2015-06-13,Mexico
320,2015-06-06,USA
319,2015-05-30,Brazil
318,2015-05-23,USA
317,2015-05-16,Philippines
316,2015-05-09,Australia
315,2015-04-25,Canada
314,2015-04-18,USA
313,2015-04-11,Poland
312,2015-04-04,USA
311,2015-03-21,Brazil
310,2015-03-14,USA
309,2015-02-28,USA
308,2015-02-22,Brazil
307,2015-02-14,USA
306,2015-01-31,USA
305,2015-01-24,Sweden
304,2015-01-18,USA
303,2015-01-03,USA
302,2014-12-20,Brazil
301,2014-12-13,USA
300,2014-12-12,USA
299,2014-12-06,USA
298,2014-11-22,USA
297,2014-11-15,Mexico
296,2014-11-08,Brazil
295,2014-11-07,Australia
294,2014-10-25,Brazil
293,2014-10-04,Canada
292,2014-10-04,Sweden
291,2014-09-27,USA
290,2014-09-20,Japan
289,2014-09-13,Brazil
288,2014-09-05,USA
287,2014-08-30,USA
286,2014-08-23,USA
285,2014-08-23,China
284,2014-08-16,USA
283,2014-07-26,USA
282,2014-07-19,Ireland
281,2014-07-16,USA
280,2014-07-06,USA
279,2014-07-05,USA
278,2014-06-28,USA
277,2014-06-28,New Zealand
276,2014-06-14,Canada
275,2014-06-07,USA
274,2014-05-31,Brazil
273,2014-05-31,Germany
272,2014-05-24,USA
271,2014-05-10,USA
270,2014-04-26,USA
269,2014-04-19,USA
268,2014-04-16,Canada
267,2014-04-11,United Arab Emirates
266,2014-03-23,Brazil
265,2014-03-15,USA
264,2014-03-08,United Kingdom
263,2014-03-01,China
262,2014-02-22,USA
261,2014-02-15,Brazil
260,2014-02-01,USA
259,2014-01-25,USA
258,2014-01-15,USA
257,2014-01-04,Singapore
256,2013-12-28,USA
255,2013-12-14,USA
254,2013-12-06,Australia
253,2013-11-30,USA
252,2013-11-16,USA
251,2013-11-09,Brazil
250,2013-11-06,USA
249,2013-10-26,United Kingdom
248,2013-10-19,USA
247,2013-10-09,Brazil
246,2013-09-21,Canada
245,2013-09-04,Brazil
244,2013-08-31,USA
243,2013-08-28,USA
242,2013-08-17,USA
241,2013-08-03,Brazil
240,2013-07-27,USA
239,2013-07-06,USA
238,2013-06-15,Canada
237,2013-06-08,Brazil
236,2013-05-25,USA
235,2013-05-18,Brazil
234,2013-04-27,USA
233,2013-04-20,USA
232,2013-04-13,USA
231,2013-04-06,Sweden
230,2013-03-16,Canada
229,2013-03-02,Japan
228,2013-02-23,USA
227,2013-02-16,United Kingdom
226,2013-02-02,USA
225,2013-01-26,USA
224,2013-01-19,Brazil
223,2012-12-29,USA
222,2012-12-15,USA
221,2012-12-14,Australia
220,2012-12-08,USA
219,2012-11-17,Canada
218,2012-11-10,China
217,2012-10-13,Brazil
216,2012-10-05,USA
215,2012-09-29,United Kingdom
214,2012-09-22,Canada
213,2012-08-11,USA
212,2012-08-04,USA
211,2012-07-21,Canada
210,2012-07-11,USA
209,2012-07-07,USA
208,2012-06-23,Brazil
207,2012-06-22,USA
206,2012-06-08,USA
205,2012-06-01,USA
204,2012-05-26,USA
203,2012-05-15,USA
202,2012-05-05,USA
201,2012-04-21,USA
200,2012-04-14,Sweden
199,2012-03-02,Australia
198,2012-02-25,Japan
197,2012-02-15,USA
196,2012-02-04,USA
195,2012-01-28,USA
194,2012-01-20,USA
193,2012-01-14,Brazil
192,2011-12-30,USA
191,2011-12-10,Canada
190,2011-12-03,USA
189,2011-11-19,USA
188,2011-11-12,USA
187,2011-11-05,United Kingdom
186,2011-10-29,USA
185,2011-10-08,USA
184,2011-10-01,USA
183,2011-09-24,USA
182,2011-09-17,USA
181,2011-08-27,Brazil
180,2011-08-14,USA
179,2011-08-06,USA
178,2011-07-02,USA
177,2011-06-26,USA
176,2011-06-11,Canada
175,2011-06-04,USA
174,2011-05-28,USA
173,2011-04-30,Canada
172,2011-03-26,USA
171,2011-03-19,USA
170,2011-03-03,USA
169,2011-02-26,Australia
168,2011-02-05,USA
167,2011-01-22,USA
166,2011-01-01,USA
165,2010-12-11,Canada
164,2010-12-04,USA
163,2010-11-20,USA
162,2010-11-13,Germany
161,2010-10-23,USA
160,2010-10-16,United Kingdom
159,2010-09-25,USA
158,2010-09-15,USA
157,2010-08-28,USA
156,2010-08-07,USA
155,2010-08-01,USA
154,2010-07-03,USA
153,2010-06-19,USA
152,2010-06-12,Canada
151,2010-05-29,USA
150,2010-05-08,Canada
149,2010-04-10,United Arab Emirates
148,2010-03-31,USA
147,2010-03-27,USA
146,2010-03-21,USA
145,2010-02-20,Australia
144,2010-02-06,USA
143,2010-01-11,USA
142,2010-01-02,USA
141,2009-12-12,USA
140,2009-12-05,USA
139,2009-11-21,USA
138,2009-11-14,United Kingdom
137,2009-10-24,USA
136,2009-09-19,USA
135,2009-09-16,USA
134,2009-08-29,USA
133,2009-08-08,USA
132,2009-07-11,USA
131,2009-06-20,USA
130,2009-06-13,Germany
129,2009-05-23,USA
128,2009-04-18,Canada
127,2009-04-01,USA
126,2009-03-07,USA
125,2009-02-21,United Kingdom
124,2009-02-07,USA
123,2009-01-31,USA
122,2009-01-17,Ireland
121,2008-12-27,USA
120,2008-12-13,USA
119,2008-12-10,USA
118,2008-11-15,USA
117,2008-10-25,USA
116,2008-10-18,United Kingdom
115,2008-09-17,USA
114,2008-09-06,USA
113,2008-08-09,USA
112,2008-07-19,USA
111,2008-07-05,USA
110,2008-06-21,USA
109,2008-06-07,United Kingdom
108,2008-05-24,USA
107,2008-04-19,Canada
106,2008-04-02,USA
105,2008-03-01,USA
104,2008-02-02,USA
103,2008-01-23,USA
102,2008-01-19,United Kingdom
101,2007-12-29,USA
100,2007-12-08,USA
99,2007-11-17,USA
98,2007-10-20,USA
97,2007-09-22,USA
96,2007-09-19,USA
95,2007-09-08,United Kingdom
94,2007-08-25,USA
93,2007-07-07,USA
92,2007-06-23,USA
91,2007-06-16,United Kingdom
90,2007-06-12,USA
89,2007-05-26,USA
88,2007-04-21,United Kingdom
87,2007-04-07,USA
86,2007-04-05,USA
85,2007-03-03,USA
84,2007-02-03,USA
83,2007-01-25,USA
82,2006-12-30,USA
81,2006-12-13,USA
80,2006-11-18,USA
79,2006-11-11,USA
78,2006-10-14,USA
77,2006-10-10,USA
76,2006-09-23,USA
75,2006-08-26,USA
74,2006-08-17,USA
73,2006-07-08,USA
72,2006-06-28,USA
71,2006-06-24,USA
70,2006-05-27,USA
69,2006-04-15,USA
68,2006-04-06,USA
67,2006-03-04,USA
66,2006-02-04,USA
65,2006-01-16,USA
64,2005-11-19,USA
63,2005-11-05,USA
62,2005-10-07,USA
61,2005-10-03,USA
60,2005-08-20,USA
59,2005-08-06,USA
58,2005-06-04,USA
57,2005-04-16,USA
56,2005-04-09,USA
55,2005-02-05,USA
54,2004-10-22,USA
53,2004-08-21,USA
52,2004-06-19,USA
51,2004-04-02,USA
50,2004-01-31,USA
49,2003-11-21,USA
48,2003-09-26,USA
47,2003-06-06,USA
46,2003-04-25,USA
45,2003-02-28,USA
44,2002-11-22,USA
43,2002-09-27,USA
42,2002-07-13,United Kingdom
41,2002-06-22,USA
40,2002-05-10,USA
39,2002-03-22,USA
38,2002-01-11,USA
37,2001-11-02,USA
36,2001-09-28,USA
35,2001-06-29,USA
34,2001-05-04,USA
33,2001-02-23,USA
32,2000-12-16,Japan
31,2000-11-17,USA
30,2000-09-22,USA
29,2000-06-09,USA
28,2000-04-14,Japan
27,2000-03-10,USA
26,1999-11-19,Japan
25,1999-09-24,USA
24,1999-07-16,USA
23,1999-05-07,USA
22,1999-03-05,USA
21,1999-01-08,USA
20,1998-10-16,Brazil
19,1998-05-15,USA
18,1998-03-13,USA
17,1997-12-21,Japan
16,1997-10-17,USA
15,1997-07-27,USA
14,1997-05-30,USA
13,1997-02-07,USA
12,1996-12-07,USA
11,1996-09-20,USA
10,1996-07-12,USA
9,1996-05-17,USA
8,1996-02-16,Puerto Rico
7,1995-12-16,USA
6,1995-09-08,USA
5,1995-07-14,USA
4,1995-04-07,USA
3,1994-12-16,USA
2,1994-09-09,USA
1,1994-03-11,USA
